iter	Passed	Remaining
432	1698	2224
433	1700	2217
434	1701	2209
435	1703	2203
436	1707	2200
437	1709	2193
438	1710	2186
439	1712	2179
440	1713	2172
441	1715	2165
442	1717	2159
443	1721	2155
444	1723	2149
445	1724	2142
446	1726	2136
447	1727	2128
448	1730	2123
449	1737	2123
450	1739	2117
451	1741	2110
452	1742	2104
453	1743	2097
454	1745	2090
455	1747	2084
456	1749	2078
457	1750	2071
458	1751	2064
459	1752	2056
460	1753	2050
461	1754	2043
462	1755	2036
463	1756	2029
464	1757	2022
465	1760	2017
466	1761	2010
467	1762	2004
468	1764	1997
469	1765	1990
470	1766	1983
471	1767	1976
472	1768	1970
473	1770	1964
474	1771	1958
475	1775	1954
476	1776	1948
477	1778	1941
478	1779	1935
479	1780	1929
480	1782	1923
481	1783	1917
482	1785	1911
483	1790	1908
484	1792	1902
485	1793	1897
486	1795	1891
487	1796	1885
488	1798	1879
489	1799	1873
490	1801	1867
491	1804	1863
492	1806	1857
493	1807	1851
494	1809	1846
495	1811	1840
496	1812	1834
497	1813	1828
498	1815	1822
499	1819	1819
500	1820	1813
501	1822	1807
502	1824	1802
503	1826	1797
504	1827	1791
505	1829	1786
506	1834	1783
507	1835	1778
508	1838	1773
509	1840	1768
510	1842	1763
511	1844	1757
512	1848	1754
513	1849	1749
514	1851	1743
515	1853	1738
516	1855	1733
517	1857	1728
518	1858	1722
519	1863	1720
520	1865	1715
521	1867	1710
522	1869	1705
523	1872	1700
524	1874	1695
525	1876	1691
526	1878	1685
527	1881	1681
528	1883	1677
529	1885	1672
530	1890	1669
531	1894	1666
532	1897	1662
533	1900	1658
534	1905	1656
535	1907	1651
536	1909	1646
537	1911	1641
538	1921	1643
539	1924	1639
540	1926	1634
541	1928	1629
542	1929	1624
543	1933	1620
544	1934	1615
545	1936	1609
546	1937	1604
547	1939	1599
548	1940	1594
549	1942	1588
550	1943	1583
551	1948	1581
552	1949	1576
553	1951	1570
554	1952	1565
555	1953	1560
556	1955	1555
557	1956	1550
558	1958	1544
559	1960	1540
560	1962	1535
561	1963	1530
562	1964	1525
563	1966	1520
564	1967	1514
565	1968	1509
566	1969	1504
567	1970	1498
568	1973	1495
569	1975	1490
570	1976	1484
571	1977	1479
572	1979	1474
573	1980	1469
574	1981	1464
575	1982	1459
576	1983	1454
577	1985	1449
578	1991	1447
579	1993	1443
580	1995	1438
581	1996	1434
582	1998	1429
583	1999	1424
584	2000	1419
585	2003	1415
586	2004	1410
587	2005	1405
588	2006	1400
589	2007	1395
590	2008	1390
591	2009	1384
592	2010	1380
593	2011	1374
594	2012	1369
595	2014	1365
596	2015	1360
597	2017	1356
598	2018	1351
599	2020	1346
600	2021	1342
601	2022	1337
602	2024	1332
603	2025	1327
604	2027	1323
605	2033	1322
606	2036	1318
607	2038	1314
608	2040	1310
609	2084	1332
610	2088	1329
611	2093	1327
612	2095	1323
613	2098	1319
614	2107	1319
615	2111	1316
616	2115	1313
617	2118	1309
618	2120	1305
619	2184	1339
620	2187	1334
621	2192	1332
622	2195	1328
623	2197	1324
624	2199	1319
625	2201	1315
626	2206	1312
627	2209	1308
628	2211	1304
629	2213	1300
630	2216	1295
631	2263	1317
632	2265	1313
633	2270	1310
634	2272	1306
635	2275	1302
636	2278	1298
637	2287	1297
638	2320	1310
639	2322	1306
640	2327	1303
641	2331	1300
642	2333	1295
643	2336	1291
644	2338	1286
645	2340	1282
646	2347	1280
647	2349	1276
648	2352	1272
649	2354	1267
650	2365	1268
651	2368	1263
652	2376	1262
653	2391	1265
654	2393	1260
655	2396	1256
656	2400	1253
657	2414	1254
658	2416	1250
659	2417	1245
660	2424	1243
661	2426	1238
662	2428	1234
663	2430	1229
664	2432	1225
665	2436	1222
666	2438	1217
667	2440	1212
668	2443	1208
669	2446	1205
670	2450	1201
671	2452	1197
672	2455	1193
673	2457	1188
674	2459	1184
675	2466	1182
676	2472	1179
677	2475	1175
678	2481	1173
679	2485	1169
680	2488	1165
681	2490	1161
682	2496	1158
683	2500	1154
684	2502	1150
685	2504	1146
686	2506	1141
687	2529	1146
688	2532	1142
689	2541	1141
690	2543	1137
691	2546	1133
692	2548	1129
693	2551	1125
694	2555	1121
695	2565	1120
696	2605	1132
697	2613	1130
698	2645	1139
699	2665	1142
700	2667	1137
701	2672	1134
702	2674	1129
703	2676	1125
704	2678	1120
705	2682	1117
706	2698	1118
707	2700	1113
708	2704	1110
709	2706	1105
710	2709	1101
711	2711	1096
712	2719	1094
713	2724	1091
714	2733	1089
715	2735	1085
716	2739	1081
717	2751	1080
718	2754	1076
719	2756	1071
720	2761	1068
721	2767	1065
722	2777	1064
723	2781	1060
724	2786	1056
725	2792	1053
726	2795	1049
727	2799	1046
728	2804	1042
729	2806	1038
730	2809	1033
731	2811	1029
732	2812	1024
733	2814	1019
734	2817	1015
735	2819	1011
736	2820	1006
737	2822	1002
738	2825	997
739	2827	993
740	2828	988
741	2830	984
742	2833	979
743	2835	975
744	2836	970
745	2838	966
746	2839	961
747	2840	956
748	2841	952
749	2843	947
750	2845	943
751	2847	939
752	2848	934
753	2849	929
754	2851	925
755	2852	920
756	2853	916
757	2855	911
758	2856	906
759	2857	902
760	2859	898
761	2861	893
762	2863	889
763	2864	884
764	2866	880
765	2867	875
766	2868	871
767	2869	866
768	2871	862
769	2872	857
770	2875	854
771	2877	849
772	2879	845
773	2883	841
774	2885	837
775	2887	833
776	2893	830
777	2895	826
778	2897	821
779	2898	817
780	2900	813
781	2906	810
782	2909	806
783	2914	802
784	2932	803
785	2935	799
786	2937	795
787	2939	790
788	2941	786
789	2942	782
790	2945	778
791	2948	774
792	2949	770
793	2951	765
794	2953	761
795	2955	757
796	2957	753
797	2961	749
798	2963	745
799	2965	741
800	2967	737
801	2969	733
802	2971	728
803	2973	724
804	2975	720
805	2978	716
806	2979	712
807	2982	708
808	2984	704
809	2986	700
810	2988	696
811	2990	692
812	2992	688
813	2994	684
814	2995	680
815	2998	676
816	3000	671
817	3004	668
818	3006	664
819	3008	660
820	3011	656
821	3013	652
822	3014	648
823	3017	644
824	3019	640
825	3020	636
826	3022	632
827	3025	628
828	3032	625
829	3035	621
830	3040	618
831	3042	614
832	3047	611
833	3055	608
834	3065	605
835	3071	602
836	3082	600
837	3085	596
838	3088	592
839	3089	588
840	3091	584
841	3094	580
842	3096	576
843	3097	572
844	3103	569
845	3105	565
846	3108	561
847	3115	558
848	3118	554
849	3120	550
850	3122	546
851	3124	542
852	3132	539
853	3135	536
854	3138	532
855	3149	529
856	3151	525
857	3152	521
858	3154	517
859	3161	514
860	3163	510
861	3165	506
862	3168	502
863	3169	498
864	3172	495
865	3174	491
866	3176	487
867	3177	483
868	3179	479
869	3187	476
870	3189	472
871	3191	468
872	3193	464
873	3205	462
874	3207	458
875	3209	454
876	3216	451
877	3219	447
878	3221	443
879	3223	439
880	3225	435
881	3234	432
882	3236	428
883	3238	424
884	3241	421
885	3250	418
886	3255	414
887	3261	411
